id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
506daeac,Antonio Blanco,8,ESP,RM,24-036,1,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,1,1,0,0,0,Alavés,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
4c0a6a48,Jon Guridi,18,ESP,"CM,AM",29-182,90,0,0,0,0,1,0,0,0,51,3,0,1,0.0,0.0,0.1,6,2,35,41,85.4,8,27,4,0,0,Alavés,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
9fb45456,Carlos Benavídez,23,URU,DM,26-151,45,0,0,0,0,1,0,0,0,26,2,1,1,0.0,0.0,0.0,0,0,14,20,70.0,2,18,1,0,0,Alavés,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
4e257184,Stoichkov,19,ESP,"LM,FW",30-297,45,0,0,0,0,1,1,1,0,21,0,0,0,0.0,0.0,0.0,3,0,11,17,64.7,4,11,0,0,0,Alavés,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
8e48dc61,Ander Guevara,6,ESP,"CM,DM",27-052,90,0,0,0,0,0,0,0,0,52,2,0,1,0.0,0.0,0.0,0,0,33,42,78.6,6,28,4,0,0,Alavés,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
698f11e3,Moussa Diarra,22,MLI,LB,23-292,62,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.0,0,0,18,24,75.0,2,13,0,1,0,Alavés,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
ffacd3d5,Manu Sánchez,3,ESP,LB,24-004,28,0,0,0,0,0,0,1,0,24,1,1,1,0.0,0.0,0.0,1,0,9,15,60.0,2,8,1,2,1,Alavés,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
9b30eda5,Pica,36,ESP,CB,22-240,90,0,0,0,0,1,1,0,0,47,1,1,2,0.1,0.1,0.0,0,0,30,38,78.9,2,28,1,0,0,Alavés,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
2bc7f211,Abdel Abqar,5,MAR,CB,25-171,90,0,0,0,0,0,0,0,0,51,1,3,0,0.0,0.0,0.0,3,1,31,40,77.5,6,28,2,0,0,Alavés,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
5458f670,Hugo Novoa,16,ESP,RB,21-240,90,0,0,0,0,0,0,0,0,32,1,0,0,0.0,0.0,0.0,1,0,19,23,82.6,0,14,2,4,1,Alavés,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
9970da54,Antonio Sivera,1,ESP,GK,28-017,90,0,0,0,0,0,0,1,0,23,0,0,0,0.0,0.0,0.0,0,0,13,23,56.5,0,11,0,0,0,Alavés,2024-08-28 Real Sociedad-Alavés,ESP-LALIGA,24-25,71669703
