id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8696bc90,Munir El Haddadi,23,MAR,LW,28-362,20,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,4,8,50.0,0,5,0,2,0,Leganés,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
0d13e455,Seydouba Cissé,8,GUI,DM,23-200,65,0,0,0,0,0,0,0,0,36,1,0,1,0.0,0.0,0.0,2,0,28,30,93.3,1,30,0,1,0,Leganés,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
4accb7e0,Darko Brašanac,14,SRB,DM,32-198,25,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,2,3,0,0,0,Leganés,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
0ad37003,Yvan Neyou,17,CMR,DM,27-238,84,0,0,0,0,2,0,1,0,48,0,1,0,0.0,0.0,0.0,0,0,39,41,95.1,4,39,2,3,3,Leganés,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
34269bdf,Renato Tapia,5,PER,DM,29-031,6,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,3,0,0,0,Leganés,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
9a76c2e9,Javi Hernández,20,ESP,LB,26-118,90,0,0,0,0,1,0,0,0,56,1,2,1,0.1,0.1,0.0,1,0,33,43,76.7,1,24,1,0,0,Leganés,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
65ac6ea0,Sergi,6,ESP,CB,32-130,90,0,0,0,0,0,0,1,0,56,1,0,0,0.0,0.0,0.0,1,0,45,48,93.8,4,34,0,0,0,Leganés,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
bfca375c,Jorge Sáenz,3,ESP,CB,27-285,90,0,0,0,0,0,0,1,0,68,2,0,0,0.0,0.0,0.0,1,0,52,60,86.7,1,46,0,0,0,Leganés,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
9b6d9b53,Valentin Rosier,12,FRA,RB,28-009,90,0,0,0,0,0,0,0,0,41,2,3,1,0.0,0.0,0.0,3,0,19,26,73.1,1,14,1,2,2,Leganés,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
5512b1a9,Juan Soriano,1,ESP,GK,27-005,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,13,30,43.3,0,15,0,0,0,Leganés,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
